,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ,順位
0,202205000000 ,Other,3,5,ベジャール,ルメー,芝,1800,良,3.2,1
1,202205000000 ,Other,5,9,フォーグッド,武豊,芝,1800,良,5.2,2
2,202205000000 ,Other,8,15,ベストフィーリング,横山武,芝,1800,良,1.7,3
3,202205000000 ,Other,7,14,トリプルスリル,戸崎圭,芝,1800,良,21.2,4
4,202205000000 ,Other,6,12,ノーブルガルフ,永野,芝,1800,良,199.6,5
5,202205000000 ,Other,1,1,ローズナイトシチー,Ｍデム,芝,1800,良,13.6,6
6,202205000000 ,Other,2,3,スズナミ,横山琉,芝,1800,良,176,7
7,202205000000 ,Other,6,11,デカメロン,山田,芝,1800,良,115.9,8
8,202205000000 ,Other,5,10,リュウバター,亀田,芝,1800,良,438.7,9
9,202205000000 ,Other,4,7,ホウオウバリスタ,岩田康,芝,1800,良,75.5,10
10,202205000000 ,Other,3,6,サントゥアーリオ,江田照,芝,1800,良,336.6,11
11,202205000000 ,Other,2,4,アルティマナイト,大野,芝,1800,良,104.2,12
12,202205000000 ,Other,1,2,コスモマーチ,柴田大,芝,1800,良,378.4,13
13,202205000000 ,Other,7,13,ナイルプロジェクト,石川,芝,1800,良,416.1,14
14,202205000000 ,Other,4,8,ミュージアムピース,杉原,芝,1800,良,277.1,15
15,202205000000 ,Other,8,16,エイシンドゥルガー,松岡,芝,1800,良,75,16
0,202205000000 ,Other,2,3,アルゲンテウス,武豊,芝,1600,良,5.2,1
1,202205000000 ,Other,1,1,ブルーグラスソング,田辺,芝,1600,良,10.7,2
2,202205000000 ,Other,7,13,アルマラウラ,吉田豊,芝,1600,良,92,3
3,202205000000 ,Other,4,7,インサニティ,岩田康,芝,1600,良,58.4,4
4,202205000000 ,Other,8,15,クロシュ,丸田,芝,1600,良,95.1,5
5,202205000000 ,Other,2,4,ルージュノブレス,戸崎圭,芝,1600,良,6.2,6
6,202205000000 ,Other,8,16,トシギャングスター,丸山,芝,1600,良,3.5,7
7,202205000000 ,Other,6,11,カナラクリーク,横山武,芝,1600,良,4.4,8
8,202205000000 ,Other,7,14,マリノヴィーナス,木幡初,芝,1600,良,105.2,9
9,202205000000 ,Other,4,8,ナスノアイゲツ,菊沢,芝,1600,良,7.2,10
10,202205000000 ,Other,5,10,アーストラベル,永野,芝,1600,良,19.3,11
11,202205000000 ,Other,1,2,ランビリズマ,柴田大,芝,1600,良,166.8,12
12,202205000000 ,Other,6,12,ムーランマグノリア,武士沢,芝,1600,良,251.2,13
13,202205000000 ,Other,3,5,サトノタケル,松岡,芝,1600,良,92.8,14
14,202205000000 ,Other,5,9,ウインオリハルコン,石川,芝,1600,良,28.5,15
15,202205000000 ,Other,3,6,テイエムジャーニー,菅原隆,芝,1600,良,157.9,16
