,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,202209021211 ,G1,1,1,アイアンバローズ,石橋脩,芝,3200,重,8.5
1,202209021211 ,G1,1,2,ハーツイストワール,ルメール,芝,3200,重,25.4
2,202209021211 ,G1,2,3,ディバインフォース,田辺,芝,3200,重,47.3
3,202209021211 ,G1,2,4,ユーキャンスマイル,藤岡佑,芝,3200,重,60.9
4,202209021211 ,G1,3,5,マカオンドール,松山,芝,3200,重,9.9
5,202209021211 ,G1,3,6,メロディーレーン,岩田望,芝,3200,重,62.8
6,202209021211 ,G1,4,7,テーオーロイヤル,菱田,芝,3200,重,6.8
7,202209021211 ,G1,4,8,クレッシェンドラヴ,内田博,芝,3200,重,74.4
8,202209021211 ,G1,5,9,ヒートオンビート,池添,芝,3200,重,18.1
9,202209021211 ,G1,5,10,トーセンカンビーナ,藤岡康,芝,3200,重,78.5
10,202209021211 ,G1,6,11,マイネルファンロン,松岡,芝,3200,重,53.5
11,202209021211 ,G1,6,12,ハヤヤッコ,武豊,芝,3200,重,37.7
12,202209021211 ,G1,7,13,ロバートソンキー,伊藤,芝,3200,重,31.5
13,202209021211 ,G1,7,14,ヴァルコス,三浦,芝,3200,重,86.6
14,202209021211 ,G1,7,15,タガノディアマンテ,幸,芝,3200,重,34.6
15,202209021211 ,G1,8,16,タイトルホルダー,横山和,芝,3200,重,5.4
16,202209021211 ,G1,8,17,シルヴァーソニック,川田,芝,3200,重,27.6
17,202209021211 ,G1,8,18,ディープボンド,和田竜,芝,3200,重,2.6
