,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ,順位
0,202101010101,Other,5,9,ディーバサンライズ,秋山稔樹,芝,1200,良  ,13.5,1
1,202101010101,Other,3,6,バンベルク,横山和生,芝,1200,良  ,3.9,2
2,202101010101,Other,7,14,リツィタル,大野拓弥,芝,1200,良  ,124.7,3
3,202101010101,Other,5,10,クレマチステソーロ,鮫島克駿,芝,1200,良  ,7.6,4
4,202101010101,Other,3,5,ペイシャケイティー,古川吉洋,芝,1200,良  ,7.5,5
5,202101010101,Other,1,2,セリシア,武豊,芝,1200,良  ,3.7,6
6,202101010101,Other,4,7,デクラーク,横山武史,芝,1200,良  ,6.1,7
7,202101010101,Other,6,11,プレジャジンク,吉田隼人,芝,1200,良  ,25.0,8
8,202101010101,Other,7,13,メルティング,団野大成,芝,1200,良  ,56.6,9
9,202101010101,Other,2,3,リトルロータス,山田敬士,芝,1200,良  ,275.3,10
10,202101010101,Other,4,8,ニースバローズ,横山琉人,芝,1200,良  ,142.9,11
11,202101010101,Other,2,4,マイネルニゲラ,丹内祐次,芝,1200,良  ,57.7,12
12,202101010101,Other,8,15,ルーチェビアンカ,荻野琢真,芝,1200,良  ,56.9,13
13,202101010101,Other,6,12,ワンダードゥヴァン,加藤祥太,芝,1200,良  ,95.4,14
14,202101010101,Other,1,1,ミエノベルル,菱田裕二,芝,1200,良  ,10.4,15
15,202101010101,Other,8,16,キッズリッカリッカ,岩田康誠,芝,1200,良  ,69.9,16
0,202101010102,Other,1,1,ペイルライダー,武豊,ダ,1700,良  ,2.4,1
1,202101010102,Other,8,14,デルマフゲン,菊沢一樹,ダ,1700,良  ,9.8,2
2,202101010102,Other,5,8,ラリマールース,泉谷楓真,ダ,1700,良  ,15.2,3
3,202101010102,Other,3,4,メイショウメイロウ,大野拓弥,ダ,1700,良  ,4.0,4
4,202101010102,Other,7,11,マテンロウステラ,横山武史,ダ,1700,良  ,7.3,5
