epoch:10, trainLoss:39.373159885406494, testLoss:81.33985137939453                 正解率 1:0.000, 2:0.329, 3:0.000, 4:0.329, 5:0.000 1着から5着:0.132, 0.132                 単勝:0.000, 複勝:8.553, 馬連:0.164, ワイド:0.055, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:20, trainLoss:39.3717919588089, testLoss:79.35386657714844                 正解率 1:1.974, 2:22.039, 3:6.908, 4:8.224, 5:1.645 1着から5着:8.158, 8.158                 単勝:1.974, 複勝:22.752, 馬連:0.000, ワイド:1.809, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:30, trainLoss:39.337599873542786, testLoss:81.61166381835938                 正解率 1:0.000, 2:12.336, 3:1.974, 4:8.059, 5:0.822 1着から5着:4.638, 4.638                 単勝:0.000, 複勝:9.101, 馬連:0.000, ワイド:0.713, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:40, trainLoss:39.20675790309906, testLoss:80.42662048339844                 正解率 1:0.000, 2:0.658, 3:13.158, 4:11.678, 5:17.434 1着から5着:8.586, 8.586                 単勝:0.000, 複勝:13.925, 馬連:0.164, ワイド:0.548, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:50, trainLoss:39.288774251937866, testLoss:78.79017639160156                 正解率 1:16.283, 2:5.921, 3:6.743, 4:5.428, 5:7.730 1着から5着:8.421, 8.421                 単勝:16.283, 複勝:22.259, 馬連:0.000, ワイド:2.138, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:60, trainLoss:38.81888127326965, testLoss:78.6850357055664                 正解率 1:22.533, 2:4.770, 3:9.704, 4:13.980, 5:20.230 1着から5着:14.243, 14.243                 単勝:22.533, 複勝:24.836, 馬連:0.000, ワイド:0.603, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:70, trainLoss:38.60840404033661, testLoss:78.89478302001953                 正解率 1:16.776, 2:6.414, 3:4.605, 4:2.467, 5:5.263 1着から5着:7.105, 7.105                 単勝:16.776, 複勝:29.550, 馬連:7.730, ワイド:6.250, 馬単:1.151, 3連複:0.822, 3連単:0.000
epoch:80, trainLoss:38.413084387779236, testLoss:77.727783203125                 正解率 1:7.566, 2:9.375, 3:4.441, 4:3.454, 5:6.414 1着から5着:6.250, 6.250                 単勝:7.566, 複勝:25.439, 馬連:4.276, ワイド:4.989, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:90, trainLoss:38.07562708854675, testLoss:79.7194595336914                 正解率 1:16.941, 2:12.993, 3:3.947, 4:6.743, 5:2.632 1着から5着:8.651, 8.651                 単勝:16.941, 複勝:35.033, 馬連:6.908, ワイド:7.182, 馬単:1.809, 3連複:0.000, 3連単:0.000
epoch:100, trainLoss:37.939632833004, testLoss:76.15306854248047                 正解率 1:12.829, 2:10.362, 3:7.237, 4:4.441, 5:6.414 1着から5着:8.257, 8.257                 単勝:12.829, 複勝:33.279, 馬連:4.276, ワイド:7.621, 馬単:0.164, 3連複:0.000, 3連単:0.000
epoch:110, trainLoss:37.8473619222641, testLoss:75.77253723144531                 正解率 1:13.487, 2:16.118, 3:11.678, 4:8.553, 5:8.553 1着から5着:11.678, 11.678                 単勝:13.487, 複勝:33.553, 馬連:6.579, ワイド:9.265, 馬単:1.974, 3連複:0.000, 3連単:0.000
epoch:120, trainLoss:37.767697513103485, testLoss:76.43360900878906                 正解率 1:13.158, 2:10.855, 3:13.651, 4:7.401, 5:5.592 1着から5着:10.132, 10.132                 単勝:13.158, 複勝:38.103, 馬連:12.664, ワイド:12.226, 馬単:3.618, 3連複:0.000, 3連単:0.000
epoch:130, trainLoss:37.683650612831116, testLoss:75.34495544433594                 正解率 1:15.789, 2:12.171, 3:8.717, 4:1.809, 5:9.868 1着から5着:9.671, 9.671                 単勝:15.789, 複勝:38.103, 馬連:9.046, ワイド:10.746, 馬単:1.974, 3連複:0.000, 3連単:0.000
epoch:140, trainLoss:37.631899654865265, testLoss:75.59019470214844                 正解率 1:18.257, 2:10.197, 3:11.184, 4:4.934, 5:3.454 1着から5着:9.605, 9.605                 単勝:18.257, 複勝:34.046, 馬連:3.454, ワイド:6.414, 馬単:0.822, 3連複:0.000, 3連単:0.000
epoch:150, trainLoss:37.50051474571228, testLoss:75.19178771972656                 正解率 1:18.914, 2:7.237, 3:7.895, 4:6.579, 5:9.704 1着から5着:10.066, 10.066                 単勝:18.914, 複勝:34.265, 馬連:8.388, ワイド:7.785, 馬単:2.467, 3連複:0.000, 3連単:0.000
epoch:160, trainLoss:37.22320318222046, testLoss:73.81049346923828                 正解率 1:30.757, 2:15.625, 3:9.211, 4:5.757, 5:8.882 1着から5着:14.046, 14.046                 単勝:30.757, 複勝:42.215, 馬連:8.388, ワイド:11.787, 馬単:4.934, 3連複:0.164, 3連単:0.164
epoch:170, trainLoss:37.103182673454285, testLoss:73.7966079711914                 正解率 1:19.572, 2:16.941, 3:3.783, 4:5.592, 5:6.579 1着から5着:10.493, 10.493                 単勝:19.572, 複勝:39.309, 馬連:21.546, ワイド:12.664, 馬単:6.250, 3連複:0.000, 3連単:0.000
epoch:180, trainLoss:36.80963510274887, testLoss:73.01481628417969                 正解率 1:23.026, 2:16.941, 3:7.895, 4:6.086, 5:6.250 1着から5着:12.039, 12.039                 単勝:23.026, 複勝:42.270, 馬連:7.730, ワイド:12.500, 馬単:4.934, 3連複:0.000, 3連単:0.000
epoch:190, trainLoss:36.499966621398926, testLoss:72.74498748779297                 正解率 1:8.882, 2:12.664, 3:10.526, 4:8.224, 5:3.125 1着から5着:8.684, 8.684                 単勝:8.882, 複勝:34.978, 馬連:3.783, ワイド:7.018, 馬単:0.987, 3連複:0.658, 3連単:0.164
epoch:200, trainLoss:36.27027428150177, testLoss:71.56781768798828                 正解率 1:21.217, 2:8.224, 3:8.717, 4:9.868, 5:6.086 1着から5着:10.822, 10.822                 単勝:21.217, 複勝:32.401, 馬連:6.086, ワイド:7.018, 馬単:2.303, 3連複:0.493, 3連単:0.329
epoch:210, trainLoss:35.9834862947464, testLoss:72.18592834472656                 正解率 1:11.349, 2:8.224, 3:6.414, 4:8.224, 5:8.059 1着から5着:8.454, 8.454                 単勝:11.349, 複勝:34.101, 馬連:11.184, ワイド:8.333, 馬単:1.974, 3連複:0.493, 3連単:0.329
epoch:220, trainLoss:35.521992683410645, testLoss:68.89022827148438                 正解率 1:3.289, 2:16.612, 3:8.717, 4:5.099, 5:10.197 1着から5着:8.783, 8.783                 単勝:3.289, 複勝:33.443, 馬連:4.605, ワイド:7.840, 馬単:1.151, 3連複:0.493, 3連単:0.000
epoch:230, trainLoss:35.125541388988495, testLoss:67.80440521240234                 正解率 1:19.737, 2:12.171, 3:12.664, 4:12.500, 5:10.691 1着から5着:13.553, 13.553                 単勝:19.737, 複勝:38.925, 馬連:9.868, ワイド:11.129, 馬単:3.125, 3連複:1.974, 3連単:0.822
epoch:240, trainLoss:34.903978526592255, testLoss:69.47297668457031                 正解率 1:23.355, 2:8.882, 3:10.855, 4:12.664, 5:9.046 1着から5着:12.961, 12.961                 単勝:23.355, 複勝:37.500, 馬連:15.789, ワイド:11.184, 馬単:2.632, 3連複:1.809, 3連単:0.164
epoch:250, trainLoss:34.733119547367096, testLoss:69.00291442871094                 正解率 1:12.993, 2:10.362, 3:12.171, 4:9.046, 5:9.046 1着から5着:10.724, 10.724                 単勝:12.993, 複勝:33.717, 馬連:7.401, ワイド:9.704, 馬単:0.658, 3連複:2.961, 3連単:0.329
epoch:260, trainLoss:34.61474251747131, testLoss:67.1023941040039                 正解率 1:20.724, 2:10.526, 3:9.868, 4:5.921, 5:4.934 1着から5着:10.395, 10.395                 単勝:20.724, 複勝:42.599, 馬連:20.066, ワイド:15.515, 馬単:1.809, 3連複:3.618, 3連単:0.493
epoch:270, trainLoss:34.543434262275696, testLoss:68.30008697509766                 正解率 1:18.421, 2:10.362, 3:12.336, 4:8.388, 5:6.414 1着から5着:11.184, 11.184                 単勝:18.421, 複勝:38.651, 馬連:12.993, ワイド:11.568, 馬単:0.822, 3連複:2.796, 3連単:0.000
epoch:280, trainLoss:34.46516007184982, testLoss:67.42552185058594                 正解率 1:17.105, 2:10.197, 3:10.526, 4:7.895, 5:9.539 1着から5着:11.053, 11.053                 単勝:17.105, 複勝:41.776, 馬連:19.572, ワイド:16.502, 馬単:2.961, 3連複:7.072, 3連単:1.151
epoch:290, trainLoss:34.43235123157501, testLoss:68.06846618652344                 正解率 1:13.487, 2:13.322, 3:10.362, 4:8.059, 5:8.059 1着から5着:10.658, 10.658                 単勝:13.487, 複勝:41.831, 馬連:19.079, ワイド:14.912, 馬単:3.125, 3連複:4.276, 3連単:0.822
epoch:300, trainLoss:34.407822489738464, testLoss:67.5458755493164                 正解率 1:17.928, 2:11.842, 3:13.487, 4:5.428, 5:9.539 1着から5着:11.645, 11.645                 単勝:17.928, 複勝:41.393, 馬連:14.967, ワイド:13.871, 馬単:1.974, 3連複:2.796, 3連単:0.329
epoch:310, trainLoss:34.367367923259735, testLoss:67.31969451904297                 正解率 1:15.789, 2:11.513, 3:13.487, 4:5.757, 5:9.046 1着から5着:11.118, 11.118                 単勝:15.789, 複勝:39.967, 馬連:13.651, ワイド:12.555, 馬単:1.974, 3連複:3.289, 3連単:0.164
epoch:320, trainLoss:34.3202565908432, testLoss:66.86698913574219                 正解率 1:18.421, 2:17.105, 3:15.132, 4:6.579, 5:10.197 1着から5着:13.487, 13.487                 単勝:18.421, 複勝:45.833, 馬連:19.572, ワイド:17.818, 馬単:3.289, 3連複:3.947, 3連単:0.493
epoch:330, trainLoss:34.204249143600464, testLoss:67.09264373779297                 正解率 1:16.283, 2:11.349, 3:13.322, 4:6.908, 5:10.197 1着から5着:11.612, 11.612                 単勝:16.283, 複勝:45.833, 馬連:21.382, ワイド:17.105, 馬単:2.303, 3連複:2.961, 3連単:0.164
epoch:340, trainLoss:34.135432839393616, testLoss:68.20330810546875                 正解率 1:16.118, 2:16.118, 3:12.500, 4:4.770, 5:10.197 1着から5着:11.941, 11.941                 単勝:16.118, 複勝:44.134, 馬連:17.599, ワイド:15.296, 馬単:3.618, 3連複:2.632, 3連単:0.329
epoch:350, trainLoss:34.1094006896019, testLoss:68.19774627685547                 正解率 1:18.257, 2:13.651, 3:17.763, 4:14.967, 5:7.401 1着から5着:14.408, 14.408                 単勝:18.257, 複勝:43.037, 馬連:12.007, ワイド:14.145, 馬単:1.316, 3連複:0.987, 3連単:0.000
epoch:360, trainLoss:34.09710609912872, testLoss:69.29093170166016                 正解率 1:14.309, 2:15.296, 3:10.691, 4:6.743, 5:11.513 1着から5着:11.711, 11.711                 単勝:14.309, 複勝:42.708, 馬連:18.750, ワイド:15.789, 馬単:2.632, 3連複:4.276, 3連単:0.822
epoch:370, trainLoss:34.25156444311142, testLoss:66.1434555053711                 正解率 1:15.625, 2:19.079, 3:14.145, 4:7.072, 5:6.579 1着から5着:12.500, 12.500                 単勝:15.625, 複勝:47.423, 馬連:22.533, ワイド:19.956, 馬単:6.414, 3連複:5.757, 3連単:1.809
epoch:380, trainLoss:34.25348478555679, testLoss:66.04915618896484                 正解率 1:21.711, 2:9.375, 3:16.447, 4:6.908, 5:8.224 1着から5着:12.533, 12.533                 単勝:21.711, 複勝:42.325, 馬連:15.132, ワイド:16.009, 馬単:2.632, 3連複:4.934, 3連単:1.316
epoch:390, trainLoss:34.061068296432495, testLoss:65.8658676147461                 正解率 1:23.355, 2:11.349, 3:16.776, 4:9.704, 5:9.046 1着から5着:14.046, 14.046                 単勝:23.355, 複勝:45.779, 馬連:19.901, ワイド:16.667, 馬単:5.099, 3連複:2.961, 3連単:0.329
epoch:400, trainLoss:34.04153949022293, testLoss:67.17294311523438                 正解率 1:14.145, 2:13.816, 3:13.487, 4:13.816, 5:8.059 1着から5着:12.664, 12.664                 単勝:14.145, 複勝:37.664, 馬連:11.020, ワイド:11.623, 馬単:1.809, 3連複:1.809, 3連単:0.329
epoch:410, trainLoss:33.95437562465668, testLoss:67.08828735351562                 正解率 1:13.487, 2:11.184, 3:12.993, 4:9.211, 5:10.691 1着から5着:11.513, 11.513                 単勝:13.487, 複勝:42.215, 馬連:17.763, ワイド:13.925, 馬単:2.467, 3連複:3.454, 3連単:0.493
epoch:420, trainLoss:34.01322740316391, testLoss:66.19924926757812                 正解率 1:15.789, 2:12.829, 3:14.474, 4:9.375, 5:9.375 1着から5着:12.368, 12.368                 単勝:15.789, 複勝:41.009, 馬連:13.980, ワイド:14.254, 馬単:0.987, 3連複:2.632, 3連単:0.164
epoch:430, trainLoss:34.00444960594177, testLoss:65.76559448242188                 正解率 1:20.888, 2:14.309, 3:13.816, 4:5.757, 5:10.362 1着から5着:13.026, 13.026                 単勝:20.888, 複勝:42.982, 馬連:19.572, ワイド:15.351, 馬単:6.250, 3連複:3.289, 3連単:1.151
epoch:440, trainLoss:33.90170055627823, testLoss:66.37378692626953                 正解率 1:23.026, 2:12.336, 3:11.349, 4:5.921, 5:9.211 1着から5着:12.368, 12.368                 単勝:23.026, 複勝:42.873, 馬連:16.612, ワイド:14.200, 馬単:4.441, 3連複:2.632, 3連単:0.822
epoch:450, trainLoss:33.999650716781616, testLoss:65.52847290039062                 正解率 1:21.711, 2:19.572, 3:13.816, 4:6.908, 5:11.020 1着から5着:14.605, 14.605                 単勝:21.711, 複勝:46.930, 馬連:23.520, ワイド:17.160, 馬単:5.099, 3連複:3.947, 3連単:1.151
epoch:460, trainLoss:33.92516112327576, testLoss:66.5996322631836                 正解率 1:16.941, 2:14.967, 3:7.895, 4:6.908, 5:7.237 1着から5着:10.789, 10.789                 単勝:16.941, 複勝:38.980, 馬連:13.651, ワイド:12.390, 馬単:4.276, 3連複:2.467, 3連単:0.000
epoch:470, trainLoss:33.890955567359924, testLoss:66.49072265625                 正解率 1:19.243, 2:8.717, 3:11.842, 4:10.855, 5:13.980 1着から5着:12.928, 12.928                 単勝:19.243, 複勝:40.789, 馬連:13.322, ワイド:13.542, 馬単:1.645, 3連複:2.632, 3連単:0.329
epoch:480, trainLoss:33.849058628082275, testLoss:67.3469467163086                 正解率 1:15.132, 2:13.980, 3:11.678, 4:7.237, 5:12.007 1着から5着:12.007, 12.007                 単勝:15.132, 複勝:42.050, 馬連:16.776, ワイド:14.967, 馬単:3.783, 3連複:3.618, 3連単:0.822
epoch:490, trainLoss:33.93870413303375, testLoss:66.24794006347656                 正解率 1:14.967, 2:16.447, 3:12.007, 4:7.237, 5:9.375 1着から5着:12.007, 12.007                 単勝:14.967, 複勝:42.434, 馬連:15.789, ワイド:15.351, 馬単:2.632, 3連複:3.783, 3連単:0.493
epoch:500, trainLoss:33.97451692819595, testLoss:66.1296615600586                 正解率 1:18.750, 2:14.309, 3:8.717, 4:6.414, 5:11.842 1着から5着:12.007, 12.007                 単勝:18.750, 複勝:42.270, 馬連:18.257, ワイド:16.064, 馬単:2.467, 3連複:3.454, 3連単:0.000
epoch:510, trainLoss:33.895414888858795, testLoss:66.34426879882812                 正解率 1:15.954, 2:10.855, 3:10.855, 4:7.566, 5:10.362 1着から5着:11.118, 11.118                 単勝:15.954, 複勝:40.844, 馬連:15.954, ワイド:15.186, 馬単:1.974, 3連複:4.112, 3連単:0.164
epoch:520, trainLoss:33.81633746623993, testLoss:67.62449645996094                 正解率 1:10.362, 2:13.980, 3:11.020, 4:9.046, 5:11.020 1着から5着:11.086, 11.086                 単勝:10.362, 複勝:39.090, 馬連:15.296, ワイド:13.158, 馬単:1.809, 3連複:2.961, 3連単:0.329
epoch:530, trainLoss:33.77761536836624, testLoss:64.8669204711914                 正解率 1:18.421, 2:12.007, 3:15.296, 4:7.072, 5:9.211 1着から5着:12.401, 12.401                 単勝:18.421, 複勝:45.779, 馬連:17.105, ワイド:17.544, 馬単:3.125, 3連複:4.112, 3連単:0.987
epoch:540, trainLoss:33.756455063819885, testLoss:65.00122833251953                 正解率 1:19.079, 2:12.993, 3:13.980, 4:10.197, 5:11.349 1着から5着:13.520, 13.520                 単勝:19.079, 複勝:43.531, 馬連:12.993, ワイド:14.090, 馬単:2.138, 3連複:2.138, 3連単:0.658
epoch:550, trainLoss:33.75463527441025, testLoss:65.71154022216797                 正解率 1:18.750, 2:12.664, 3:10.526, 4:5.099, 5:9.868 1着から5着:11.382, 11.382                 単勝:18.750, 複勝:43.860, 馬連:17.928, ワイド:16.009, 馬単:2.467, 3連複:4.770, 3連単:0.658
epoch:560, trainLoss:33.71828281879425, testLoss:65.17093658447266                 正解率 1:28.289, 2:10.526, 3:16.283, 4:7.895, 5:12.993 1着から5着:15.197, 15.197                 単勝:28.289, 複勝:45.011, 馬連:22.862, ワイド:17.270, 馬単:4.112, 3連複:3.783, 3連単:1.151
epoch:570, trainLoss:33.74827527999878, testLoss:66.29269409179688                 正解率 1:18.586, 2:17.763, 3:11.349, 4:9.375, 5:7.072 1着から5着:12.829, 12.829                 単勝:18.586, 複勝:44.792, 馬連:17.270, ワイド:16.064, 馬単:3.289, 3連複:3.783, 3連単:0.822
epoch:580, trainLoss:33.84300899505615, testLoss:65.27799224853516                 正解率 1:16.283, 2:14.967, 3:13.980, 4:9.046, 5:12.993 1着から5着:13.454, 13.454                 単勝:16.283, 複勝:44.463, 馬連:19.572, ワイド:17.982, 馬単:3.454, 3連複:6.743, 3連単:0.164
