epoch:10, trainLoss:39.373159885406494, testLoss:81.33985137939453                 正解率 1:0.000, 2:11.349, 3:5.263, 4:0.164, 5:0.000 1着から5着:3.355, 3.355                 単勝:0.000, 複勝:9.868, 馬連:0.000, ワイド:0.658, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:20, trainLoss:39.3717919588089, testLoss:79.35386657714844                 正解率 1:0.000, 2:24.836, 3:24.671, 4:12.336, 5:12.664 1着から5着:14.901, 14.901                 単勝:0.000, 複勝:22.368, 馬連:0.000, ワイド:7.292, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:30, trainLoss:39.337599873542786, testLoss:81.61166381835938                 正解率 1:0.000, 2:12.500, 3:12.500, 4:2.467, 5:19.901 1着から5着:9.474, 9.474                 単勝:0.000, 複勝:12.500, 馬連:0.000, ワイド:4.167, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:40, trainLoss:39.20675790309906, testLoss:80.42662048339844                 正解率 1:0.000, 2:0.329, 3:14.638, 4:6.086, 5:16.612 1着から5着:7.533, 7.533                 単勝:0.000, 複勝:13.268, 馬連:0.822, ワイド:1.206, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:50, trainLoss:39.288774251937866, testLoss:78.79017639160156                 正解率 1:19.901, 2:3.454, 3:7.237, 4:7.730, 5:0.329 1着から5着:7.730, 7.730                 単勝:19.901, 複勝:26.754, 馬連:0.000, ワイド:5.537, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:60, trainLoss:38.81888127326965, testLoss:78.6850357055664                 正解率 1:22.533, 2:6.250, 3:18.092, 4:8.059, 5:18.092 1着から5着:14.605, 14.605                 単勝:22.533, 複勝:24.726, 馬連:0.000, ワイド:0.877, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:70, trainLoss:38.60840404033661, testLoss:78.89478302001953                 正解率 1:12.007, 2:6.743, 3:9.046, 4:2.138, 5:4.605 1着から5着:6.908, 6.908                 単勝:12.007, 複勝:27.577, 馬連:7.566, ワイド:4.605, 馬単:0.493, 3連複:0.822, 3連単:0.000
epoch:80, trainLoss:38.413084387779236, testLoss:77.727783203125                 正解率 1:7.566, 2:9.211, 3:1.151, 4:3.125, 5:7.072 1着から5着:5.625, 5.625                 単勝:7.566, 複勝:26.096, 馬連:4.770, ワイド:4.989, 馬単:0.000, 3連複:0.000, 3連単:0.000
epoch:90, trainLoss:38.07562708854675, testLoss:79.7194595336914                 正解率 1:15.132, 2:9.375, 3:4.112, 4:4.770, 5:7.401 1着から5着:8.158, 8.158                 単勝:15.132, 複勝:33.279, 馬連:6.579, ワイド:5.263, 馬単:2.467, 3連複:0.000, 3連単:0.000
epoch:100, trainLoss:37.939632833004, testLoss:76.15306854248047                 正解率 1:12.007, 2:13.487, 3:7.072, 4:4.605, 5:4.441 1着から5着:8.322, 8.322                 単勝:12.007, 複勝:33.388, 馬連:4.441, ワイド:7.456, 馬単:0.164, 3連複:0.000, 3連単:0.000
epoch:110, trainLoss:37.8473619222641, testLoss:75.77253723144531                 正解率 1:13.816, 2:16.776, 3:8.882, 4:9.704, 5:7.895 1着から5着:11.414, 11.414                 単勝:13.816, 複勝:33.059, 馬連:6.086, ワイド:9.046, 馬単:1.809, 3連複:0.000, 3連単:0.000
epoch:120, trainLoss:37.767697513103485, testLoss:76.43360900878906                 正解率 1:12.336, 2:14.638, 3:9.868, 4:4.770, 5:6.250 1着から5着:9.572, 9.572                 単勝:12.336, 複勝:37.061, 馬連:14.474, ワイド:11.678, 馬単:3.125, 3連複:0.000, 3連単:0.000
epoch:130, trainLoss:37.683650612831116, testLoss:75.34495544433594                 正解率 1:15.954, 2:12.993, 3:9.868, 4:2.632, 5:4.112 1着から5着:9.112, 9.112                 単勝:15.954, 複勝:37.610, 馬連:7.566, ワイド:10.197, 馬単:2.138, 3連複:0.000, 3連単:0.000
epoch:140, trainLoss:37.631899654865265, testLoss:75.59019470214844                 正解率 1:18.586, 2:9.046, 3:12.007, 4:5.592, 5:3.125 1着から5着:9.671, 9.671                 単勝:18.586, 複勝:33.333, 馬連:3.947, ワイド:5.921, 馬単:0.658, 3連複:0.000, 3連単:0.000
